idplayer;descCountry;idade;kills;deaths;KD
1439;br;;232;236;0.9831
2069;br;25;3088;3142;0.9828
465;br;21;9515;9683;0.9827
91;br;20;1803;1835;0.9826
186;br;21;222;226;0.9823
430;ar;22;439;447;0.9821
2107;br;19;817;832;0.9820
1148;ar;18;705;718;0.9819
234;br;;54;55;0.9818
2535;ar;20;212;216;0.9815
2367;br;28;963;982;0.9807
2456;br;35;1322;1348;0.9807
2557;br;25;404;412;0.9806
1736;br;26;1026;1047;0.9799
988;br;20;2281;2328;0.9798
789;br;33;5687;5806;0.9795
849;br;19;2394;2444;0.9795
1801;br;;382;390;0.9795
1796;br;21;3658;3736;0.9791
1942;br;30;186;190;0.9789
1970;ar;21;10230;10450;0.9789
540;br;24;92;94;0.9787
1169;ar;24;8028;8203;0.9787
1968;br;21;8384;8569;0.9784
117;br;23;1587;1623;0.9778
2377;br;;392;401;0.9776
689;br;28;652;667;0.9775
1079;br;;652;667;0.9775
2507;br;;465;476;0.9769
1923;ar;22;623;638;0.9765
656;br;;331;339;0.9764
1809;br;;369;378;0.9762
1842;ar;22;163;167;0.9760
2716;br;22;930;953;0.9759
361;br;21;3231;3311;0.9758
743;br;29;2046;2097;0.9757
881;ar;27;2293;2350;0.9757
78;br;;240;246;0.9756
1744;br;23;3897;3995;0.9755
2356;ar;16;2234;2290;0.9755
1859;br;28;1975;2025;0.9753
2268;br;;118;121;0.9752
1420;ar;35;1867;1915;0.9749
561;br;34;1695;1739;0.9747
1133;br;28;728;747;0.9746
794;ar;22;2455;2521;0.9738
1241;br;21;960;986;0.9736
297;cl;;184;189;0.9735
1007;br;33;220;226;0.9735
1593;br;18;2015;2070;0.9734
2448;br;;109;112;0.9732
2495;br;;1193;1226;0.9731
800;br;19;2546;2618;0.9725
1987;br;;1271;1307;0.9725
1594;ar;31;1902;1957;0.9719
1555;br;18;3244;3340;0.9713
720;br;;337;347;0.9712
610;br;22;66;68;0.9706
1862;br;31;33;34;0.9706
2632;br;20;33;34;0.9706
92;br;22;1315;1355;0.9705
471;ar;28;659;679;0.9705
1781;ar;19;296;305;0.9705
1478;br;23;261;269;0.9703
2449;br;32;3771;3887;0.9702
425;br;;284;293;0.9693
1595;br;23;789;814;0.9693
1835;br;;3471;3581;0.9693
381;br;21;1933;1995;0.9689
674;br;40;9656;9967;0.9688
1276;br;22;1942;2005;0.9686
757;br;32;3863;3991;0.9679
1997;br;21;453;468;0.9679
2181;br;33;6964;7196;0.9678
503;br;34;1334;1379;0.9674
518;ar;;741;766;0.9674
616;br;28;29;30;0.9667
924;br;23;2066;2138;0.9663
1911;ar;36;3222;3335;0.9661
75;br;24;1734;1795;0.9660
1292;ar;18;1932;2000;0.9660
1108;br;26;1416;1466;0.9659
1460;br;34;141;146;0.9658
1485;br;20;4484;4643;0.9658
1163;br;32;1319;1366;0.9656
1385;br;38;2358;2442;0.9656
496;cl;24;1361;1410;0.9652
817;br;17;2469;2558;0.9652
614;br;29;1185;1228;0.9650
1546;br;23;993;1029;0.9650
974;cl;27;110;114;0.9649
2025;br;34;82;85;0.9647
316;br;32;3512;3641;0.9646
2640;br;19;354;367;0.9646
1197;ar;22;270;280;0.9643
929;br;25;1074;1114;0.9641
1613;br;27;3239;3360;0.9640
2404;br;26;6274;6510;0.9637
1452;br;19;5395;5599;0.9636
2029;br;;2592;2690;0.9636
1652;br;;1790;1860;0.9624
648;br;25;1430;1486;0.9623
709;br;34;2952;3068;0.9622
371;cl;21;76;79;0.9620
2079;br;22;405;421;0.9620
238;br;20;1255;1305;0.9617
1581;br;;2259;2349;0.9617
59;br;;50;52;0.9615
838;br;27;2350;2444;0.9615
1139;br;24;149;155;0.9613
1225;br;28;347;361;0.9612
292;br;16;97;101;0.9604
1110;ar;28;2114;2202;0.9600
2525;ar;20;1921;2001;0.9600
1202;br;34;4739;4938;0.9597
1584;ar;19;898;936;0.9594
2126;ar;19;3631;3785;0.9593
748;br;31;5108;5327;0.9589
1493;ar;24;4900;5110;0.9589
623;br;19;2417;2522;0.9584
1184;br;35;2413;2518;0.9583
971;br;32;2936;3067;0.9573
1833;br;28;763;797;0.9573
858;ar;;223;233;0.9571
2418;ar;22;620;648;0.9568
1446;br;22;221;231;0.9567
642;br;26;1012;1058;0.9565
1830;br;21;153;160;0.9563
308;br;;87;91;0.9560
2110;br;23;87;91;0.9560
1059;ar;20;432;452;0.9558
275;pe;;194;203;0.9557
240;ar;;86;90;0.9556
267;br;;1183;1238;0.9556
2393;br;23;580;607;0.9555
2416;br;21;2098;2196;0.9554
103;br;31;490;513;0.9552
535;br;23;829;868;0.9551
1229;br;35;1381;1446;0.9550
2228;br;37;381;399;0.9549
2431;br;20;21;22;0.9545
2244;ar;24;398;417;0.9544
2315;br;;272;285;0.9544
302;br;;1207;1265;0.9542
1286;br;23;5288;5543;0.9540
2638;br;22;1224;1283;0.9540
251;ar;28;4028;4223;0.9538
1272;br;23;62;65;0.9538
2598;br;35;1074;1126;0.9538
2386;br;;6256;6560;0.9537
42;br;31;2754;2888;0.9536
640;br;32;3821;4007;0.9536
2060;br;20;370;388;0.9536
171;br;24;2916;3059;0.9533
938;br;;1048;1100;0.9527
1323;br;18;383;402;0.9527
224;br;21;40;42;0.9524
693;ar;21;4257;4470;0.9523
2232;cl;25;8611;9043;0.9522
888;ar;26;2200;2311;0.9520
1788;br;21;1272;1337;0.9514
35;br;29;2438;2563;0.9512
1832;br;17;4005;4211;0.9511
796;br;30;2467;2594;0.9510
2199;br;25;2834;2980;0.9510
2470;br;;97;102;0.9510
2016;ar;19;419;441;0.9501
345;ar;22;76;80;0.9500
1504;br;22;4314;4542;0.9498
2380;br;;4499;4738;0.9496
1179;br;27;2268;2389;0.9494
2301;br;;356;375;0.9493
2403;ar;30;6111;6438;0.9492
1848;ar;20;93;98;0.9490
815;br;18;203;214;0.9486
940;br;23;829;874;0.9485
719;br;;919;969;0.9484
2672;br;24;386;407;0.9484
1600;ar;19;2656;2801;0.9482
1571;br;28;1642;1732;0.9480
2253;br;32;5429;5727;0.9480
1643;br;26;709;748;0.9479
837;br;28;3666;3868;0.9478
464;br;23;18;19;0.9474
814;br;21;18;19;0.9474
1096;br;19;36;38;0.9474
1487;br;;18;19;0.9474
2299;br;21;6388;6743;0.9474
1055;br;20;467;493;0.9473
277;br;;1583;1672;0.9468
2555;br;17;2753;2908;0.9467
1907;ar;31;407;430;0.9465
1177;ar;22;53;56;0.9464
1886;br;20;8554;9038;0.9464
945;ar;22;385;407;0.9459
1444;br;25;175;185;0.9459
2513;br;27;87;92;0.9457
1207;br;30;85;90;0.9444
1216;ar;21;136;144;0.9444
1242;br;;1711;1812;0.9443
264;br;21;710;752;0.9441
1971;br;19;657;696;0.9440
213;br;;150;159;0.9434
731;ar;31;6350;6734;0.9430
2618;ar;19;213;226;0.9425
2579;br;19;915;971;0.9423
1278;br;;1514;1607;0.9421
2077;br;27;10555;11204;0.9421
1492;br;22;2564;2722;0.9420
1737;ar;17;905;961;0.9417
487;br;22;484;514;0.9416
774;br;31;3105;3298;0.9415
1769;br;28;6459;6862;0.9413
852;br;23;3011;3199;0.9412
2421;br;;1487;1580;0.9411
489;br;21;797;847;0.9410
2188;br;24;126;134;0.9403
1673;br;24;281;299;0.9398
2621;br;22;109;116;0.9397
1895;uy;25;6610;7035;0.9396
1309;ar;23;277;295;0.9390
2303;br;22;4023;4285;0.9389
2422;br;34;766;816;0.9387
1935;ar;19;3241;3453;0.9386
1646;br;22;2971;3166;0.9384
2311;br;;198;211;0.9384
1354;br;20;4410;4700;0.9383
27;cl;28;530;565;0.9381
894;br;19;1100;1173;0.9378
915;br;26;7327;7813;0.9378
1720;br;26;5365;5722;0.9376
2637;br;18;1382;1474;0.9376
691;br;20;30;32;0.9375
2125;br;20;30;32;0.9375
2259;ar;;2039;2175;0.9375
1236;br;;2061;2199;0.9372
2536;br;15;5302;5659;0.9369
2385;bo;33;959;1024;0.9365
653;br;30;1164;1243;0.9364
1437;br;26;4214;4502;0.9360
1191;br;21;1922;2054;0.9357
2328;br;24;233;249;0.9357
717;br;22;174;186;0.9355
1397;br;27;1536;1642;0.9354
1065;br;28;130;139;0.9353
2247;br;;375;401;0.9352
2565;ar;22;361;386;0.9352
502;br;25;3489;3731;0.9351
1749;br;21;72;77;0.9351
1614;br;21;1984;2122;0.9350
573;br;22;4192;4489;0.9338
1816;br;27;903;967;0.9338
2122;br;;1876;2009;0.9338
2711;br;31;2200;2356;0.9338
626;br;26;548;587;0.9336
1239;ar;20;506;542;0.9336
2572;ar;22;307;329;0.9331
33;br;24;4038;4329;0.9328
2433;br;24;236;253;0.9328
1548;br;38;1137;1219;0.9327
2714;br;22;554;594;0.9327
